k,status,rss,rmse,mae,r2,trace_hat,aicc_fixed_partition,min_positive_same_regime,median_positive_same_regime,max_positive_same_regime
87,fit,43.91911309555287,0.5255671575345523,0.3543209278581483,0.723779162921051,38.89692921335275,354.085281744266,11.0,21.0,53.0
88,fit,44.04337203827939,0.5263101175765029,0.35474072504373805,0.7229976601366077,38.67173645486638,353.72486579175563,11.0,21.0,53.0
89,fit,44.11429435302548,0.5267337013685311,0.35493298367637915,0.7225516078426071,38.42269655245376,353.08890394674324,11.0,21.0,53.0
90,fit,44.17642689677168,0.5271045084921755,0.3549919010167509,0.7221608371272221,38.18073620387274,352.44982980116697,11.0,21.0,53.0
91,fit,44.304131344649356,0.5278658309655394,0.35518167648341414,0.7213576644990607,37.93991896336277,352.05350061606896,11.0,21.0,53.0
92,fit,44.38742712208282,0.5283618157238337,0.355349424652611,0.7208337916850137,37.730026523194816,351.60950516691986,11.0,22.0,53.0
93,fit,44.46024125639079,0.5287950064488366,0.3555200971420775,0.7203758411547749,37.52707712819745,351.15451695685556,11.0,22.0,53.0
94,fit,44.52799494579923,0.5291977727447297,0.35574530650670927,0.7199497173220174,37.35280188147465,350.7840762695022,11.0,22.0,53.0
95,fit,44.57465187459506,0.5294749498151258,0.3559070581441331,0.71965627751827,37.128277048334624,350.16403563156973,11.0,23.0,53.0
96,fit,44.66805232280687,0.5300293828499699,0.3561851369165268,0.71906885331568,36.920982180774544,349.77326723299166,12.0,23.0,53.0
97,fit,44.748545091356284,0.5305067299400402,0.35654434041978644,0.7185626094883253,36.730682762158295,349.3974671470589,12.0,23.0,53.0
98,fit,44.81166268561206,0.5308807366191426,0.3567650839035802,0.7181656434867165,36.5723999718967,349.07249604531114,12.0,23.0,53.0
99,fit,44.85764445743922,0.5311530382543128,0.3567997513915187,0.7178764499532124,36.41529372657537,348.69198925780006,12.0,23.0,53.0
100,fit,44.927134125176394,0.5315642877227941,0.35686071752234333,0.7174394080177585,36.23572749881484,348.318555446201,12.0,23.0,53.0
101,fit,44.991757020132944,0.5319464496392987,0.35697916470623997,0.717032974716145,36.08837799832115,348.0400741974243,12.0,23.0,53.0
102,fit,45.07537462699281,0.5324405339400303,0.35713739146506607,0.7165070778176552,35.92070569283274,347.7598529198525,12.0,23.0,53.0
103,fit,45.16189274284452,0.5329512747669826,0.3574003625583708,0.7159629387242483,35.75315449905882,347.49130204758103,12.0,23.0,53.0
104,fit,45.221873287434434,0.5333050697351827,0.35758406830732126,0.715585702594752,35.56475710043598,347.05943276045184,12.0,23.0,53.0
105,fit,45.250106241844755,0.5334715204734516,0.35778751473582265,0.7154081368437437,35.43740323534621,346.725206196601,13.0,23.0,53.0
106,fit,45.28506674232767,0.5336775623143474,0.35802357470485685,0.7151882594822159,35.27058542196116,346.2815928262121,13.0,23.0,53.0
107,fit,45.37291141583938,0.5341949295352101,0.35824891810795334,0.7146357772588718,35.07514962557809,345.92811701849,14.0,24.0,53.0
108,fit,45.42994156368208,0.5345305444184079,0.35843578911743834,0.7142770970837605,34.91094987425692,345.5736148061148,14.0,24.0,53.0
109,fit,45.491574626821276,0.5348930100909517,0.3586372711762985,0.7138894677558411,34.688064126316974,345.0392474446283,14.0,24.0,53.0
110,fit,45.584765069371535,0.5354405995593019,0.35882525613938193,0.7133033643435753,34.53003079623265,344.83455761524397,14.0,24.0,53.0
111,fit,45.636428985443125,0.5357439369196662,0.3589802011472004,0.7129784340538168,34.388818675536584,344.54216548199315,14.0,24.0,53.0
112,fit,45.65639415866988,0.5358611136044447,0.35901993522581427,0.7128528669266045,34.22757230458934,344.07351067474383,14.0,24.0,53.0
113,fit,45.69836865552257,0.5361073806800637,0.35927496614266624,0.7125888763803612,34.066327122212364,343.68283756535124,14.0,24.0,53.0
