AreaKey,regime,regime_local_k,unified_fitted_z,reference_independent_fitted_z,delta_fitted,unified_Intercept,reference_independent_Intercept,delta_Intercept,unified_PctFB,reference_independent_PctFB,delta_PctFB,unified_PctBlack,reference_independent_PctBlack,delta_PctBlack,unified_PctRural,reference_independent_PctRural,delta_PctRural
13127,6,21,0.9793267098651658,0.979326709865166,-2.220446049250313e-16,-0.15366545775075752,-0.1536654577507575,-2.7755575615628914e-17,-0.06727666432331017,-0.0672766643233102,2.7755575615628914e-17,0.2250084815547704,0.2250084815547704,0.0,-0.6334910898367847,-0.6334910898367847,0.0
13129,1,53,-0.30199967055890026,-0.3019996705589004,1.6653345369377348e-16,0.10531501286201883,0.1053150128620189,-6.938893903907228e-17,0.7701966339531109,0.770196633953111,-1.1102230246251565e-16,0.0008930343725761514,0.0008930343725763,-1.4864411784776266e-16,-0.28137789347752584,-0.2813778934775259,5.551115123125783e-17
13131,2,19,-0.20174233941861322,-0.2017423394186132,-2.7755575615628914e-17,-0.4396574339735282,-0.4396574339735282,0.0,0.007121293496604564,0.0071212934966045,6.418476861114186e-17,0.2223842888849869,0.2223842888849869,0.0,-0.34264305636202225,-0.3426430563620222,-5.551115123125783e-17
13133,5,27,-0.3407352078391733,-0.3407352078391733,0.0,0.13685927657277216,0.1368592765727721,5.551115123125783e-17,0.4104581994992409,0.4104581994992409,0.0,-0.13761049120451743,-0.1376104912045174,-2.7755575615628914e-17,-0.4342113355728423,-0.4342113355728423,0.0
13135,1,53,3.242307446877332,3.2423074468773323,-4.440892098500626e-16,0.27926375619495214,0.2792637561949523,-1.6653345369377348e-16,0.7199028374284837,0.7199028374284838,-1.1102230246251565e-16,-0.04254065290097542,-0.0425406529009756,1.8041124150158794e-16,-0.29560925809990407,-0.295609258099904,-5.551115123125783e-17
13137,1,53,1.0472414502583458,1.0472414502583458,0.0,0.34537740919657905,0.345377409196579,5.551115123125783e-17,0.6714057248080203,0.6714057248080203,0.0,0.0323225351014772,0.0323225351014772,0.0,-0.3416749497664807,-0.3416749497664806,-1.1102230246251565e-16
13139,1,53,2.0612734060700033,2.061273406070003,4.440892098500626e-16,0.3350206045088716,0.3350206045088716,0.0,0.6644132160635758,0.6644132160635757,1.1102230246251565e-16,-0.0005942426145655322,-0.0005942426145655,-3.220080452281948e-17,-0.35755022238887735,-0.3575502223888772,-1.6653345369377348e-16
13141,5,27,-1.0331347850632757,-1.0331347850632762,4.440892098500626e-16,0.11882636383731751,0.1188263638373174,1.1102230246251565e-16,0.37797371593305984,0.3779737159330598,5.551115123125783e-17,-0.12592266925789286,-0.1259226692578929,2.7755575615628914e-17,-0.4603468277857867,-0.4603468277857868,5.551115123125783e-17
13143,1,53,-0.14785868291675058,-0.1478586829167506,2.7755575615628914e-17,0.11246375949877219,0.1124637594987721,8.326672684688674e-17,0.8320655488827502,0.8320655488827504,-2.220446049250313e-16,-0.014929694154049322,-0.0149296941540493,-2.2551405187698492e-17,-0.22116212450796682,-0.2211621245079667,-1.1102230246251565e-16
13145,3,17,-0.1774767782150841,-0.1774767782150841,0.0,0.03890539386077779,0.0389053938607777,9.020562075079397e-17,0.2860395748860274,0.2860395748860274,0.0,-0.15735446646655663,-0.1573544664665566,-2.7755575615628914e-17,-0.2412056060563942,-0.2412056060563941,-1.1102230246251565e-16
13147,1,53,-0.11928817044425372,-0.1192881704442536,-1.1102230246251565e-16,0.3558492914721886,0.3558492914721885,5.551115123125783e-17,0.6640110823992429,0.6640110823992429,0.0,-0.027555170630752746,-0.0275551706307529,1.5612511283791264e-16,-0.3672030016195532,-0.3672030016195532,0.0
13149,1,53,-0.5645676067675807,-0.5645676067675807,0.0,0.14024520979935884,0.140245209799359,-1.6653345369377348e-16,0.8617104686645677,0.8617104686645678,-1.1102230246251565e-16,-0.03766176377069003,-0.03766176377069,-2.7755575615628914e-17,-0.17129903969487134,-0.1712990396948713,-2.7755575615628914e-17
